name	kind	ident	code_rva	shared
kRvaSendWillRenderCanvases	plain	UnityEngine.Canvas::SendWillRenderCanvases	0x5348800	0
kRvaSceneLoginUpdate	plain	eb579f9e366aba64d2b93c5956ef5d48f3e3bb00804a9fe6e11813b464237be::Update	0xC4B720	0
kRvaWorldManagerFixedUpdate	plain	cba21c42799e50c37623ea5fd88d5c4c9155c2565d25cde936671684e16dff7::FixedUpdate	0xE24710	0
kRvaWorldManagerUpdate	plain	cba21c42799e50c37623ea5fd88d5c4c9155c2565d25cde936671684e16dff7::Update	0xE28320	0
kRvaUserPrepare	hash	df9431b7b870f7c3bd420771c99ffcc478c0c350f9e37782bd6d527300f6378	0x108D0C0	1
kRvaFbPrepare	hash	df9431b7b870f7c3bd420771c99ffcc478c0c350f9e37782bd6d527300f6378	0x12B72B0	1
kRvaSceneLoginGet	hash	c014c37605faf08e1ff939aea01b8ee346e7acdf6d5a105d8243facc3c085fc	0xC4AED0	0
kRvaOnClickWorldItem	hash	b49a13a94cdcbcddb6ad5c355a1a7d7e0ddc72c97feae1ecaecaaedc8fa239c	0xADE680	0
kRvaSelectChannel	hash	b926337e7201fe49dffbe9b2cffc69d5146646ac65fbff847f03282d74a9352	0xAD7B20	0
kRvaOnClickGoWorld	hash	cfcaad673a93e095ec4502efb27328bdb490db16b98bef6edf52f5fd701f3e0	0xADAF00	0
kRvaSelectCharacter	hash	a716a1e27b1c3dbf53af23cd6f4b84c88f5fd71d2110abb931170910bdeb1d8	0xABFF80	0
kRvaOnClickButtonSelect	hash	bd0b2bc5585aa33194f09ba3b0b78fb617e58dc59b58b8fe7e7ba4484571cfe	0xAC1360	0
kRvaGetAvatarCount	hash	fbc08c5ceaa1ad997fe5a4571cb525de9a846b0f112f92b028afd5b20b82f26	0xACC190	0
kRvaIsSlotEnable	hash	d8ae8165933c762798e8b3cf2b06e0a3add529a2f9ea46a69bddeb8611ca604	0xAC7BD0	0
kRvaIsOpenAntiMacro	hash	cb12625ac7b8b8a44c0892be3e7fe985598466b23fb4084e82c1f291c6f8a4c	0x972AF0	0
kRvaTextGet	hash	f695649fb594927a49e8907339ffabdd759f41ff2e87b3308a64e4c6392cfa9	0x96F4F0	0
kRvaTextIsInst	hash	addacecf1935de92c7158f334b255c67a410f2fbba1f85d3ac238715661d24c	0x96F8A0	0
kRvaTextOnOk	hash	ea9ce1f8c8c6fef324e4561dd12e807291b9ce5d13ea489114780a2e0ce5bc5	0x971CB0	0
kRvaNonGet	hash	d42f475c9d6dea1073caddff9525e27bf6925fa3148c19b1dbeb23e6e524446	0x961C10	0
kRvaNonIsInst	hash	d9e38bf733b50496400e3f9ebf41f6a322dbf6273311281bb99c347dc436f36	0x961FE0	0
kRvaTryGetWinCursorPos	hash	cc7e8899c12c5481f5a1583404ddcf6293c48bbcb31b36e5be6e82cffd4438c	0x973150	0
kRvaCamGetMain	plain	UnityEngine.Camera::get_main	0x4EF9D50	0
kRvaCamWorldToScreen	plain	UnityEngine.Camera::WorldToScreenPoint	0x4EF96E0	1
kRvaRectGetRect	plain	UnityEngine.RectTransform::get_rect	0x4F7C1C0	0
kRvaTransformPoint	plain	UnityEngine.Transform::TransformPoint	0x4F82580	1
kRvaSendSp	hash	f834409ab26437ce5dbd788c44ef8dff85cbe0a670572c868b3fbc215bd62db	0xE5D810	0
kRvaCanSendExcl	hash	b9c0f151ae3425e551d759586cec4e00bca6e886d959aebb5d95807fd38bc8f	0xE2F8D0	0
kRvaGetMaxLevel	hash	d0b415dc198894ee591ee14455001775d1e36b1a4f3508c3d2ad4e7cc5562c9	0x1601980	0
kRvaSendAp	hash	ed9c5a11a05a8bda815522fbd069d1922512847ece225b081f617d5761d699a	0x65A960	0
kRvaSendTransferChannelRequest	hash	c4c25c60a8367001aef74c21959d555e58b0ac827ed77d1d253a14743b72cff	0xBFDC70	0
kRvaIsAlertMode	hash	b867a2ff21c1253048d032268a6ac8100e6932897d5c14e658ce7d0dc6a3927	0x12B0160	0
kRvaCanSendExclRequest	hash	b9c0f151ae3425e551d759586cec4e00bca6e886d959aebb5d95807fd38bc8f	0xE2F8D0	0
kRvaUiDlgSelectMenu	hash	b2a8de3b132bb8d34b4b1427d7dc24e9c365efd748c2a4ebcdac762d5c7e376	0x7BA740	0
kRvaUiDlgOnClickBtOk	plain	b731652cc9dbeae313cdf4c9b18aa721c563fb879cf989ff00947dc28a73129::OnClickBtOk	0x7C35C0	0
kRvaUiDlgOnClickBtYes	plain	b731652cc9dbeae313cdf4c9b18aa721c563fb879cf989ff00947dc28a73129::OnClickBtOk	0x7C35C0	0
kRvaGoGetActiveSelf	plain	UnityEngine.GameObject::get_activeSelf	0x4F69A10	0
kRvaCanPerformAction	hash	bb2eb81be474e366fcaa0e1db424cee2c71c60e124b124c379aabdec5344957	0x4D4730	0
kRvaGetLevelData	hash	e414b9a1b480ba6167a6208624b191a791fdd1db194d726a3b72f949ce9c08a	0x1602940	0
kRvaTryDoingFinalAttack	hash	a6fa22f7c867acb975d82e298c580e3f1b5088ad0b1e81deb3391b7fb85944b	0x1150730	0
kRvaGetWeaponType	hash	d1ed9eb82eb5f583304620272a9ecd782130826023552b03ca84b335a7636f9	0x14CAB80	0
kRvaCdGetItem	hash	e423704b730739210652e47452bc607108dda102192de83ed6855a7701d6d38	0x135BC50	0
kRvaCamScreenToWorld	plain	UnityEngine.Camera::ScreenToWorldPoint	0x4EF9880	1
kRvaCompGetTransform	plain	UnityEngine.Component::get_transform	0x4F63FC0	0
