# 09-17 last Il2CppBind. a may improve; b must match. missing opt != FAIL.
tag	prefix	a	b	path	need
AtkAccel	field offsets path=*	8	8	meta	opt
Attack	attack slots path=*	4	4	meta	req
Attack	methods path=*	5	5	meta-partial	req
AuctionTown	offsets path=*	6	6	meta	opt
AutoEnter	login slots path=*	16	16	meta	req
AutoEnter	methods path=*	5	5	meta	req
AutoLiePort	methods path=*	7	7	meta-partial	opt
AutoLiePort	quiz fields path=*	10	10	meta	opt
Consumable	FuncKey slots path=*	2	2	meta	opt
Consumable	PortalScroll methods path=*	1	1	meta	opt
Consumable	methods path=*	1	1	meta	opt
DropAlert	alert field path=*	1	1	meta	opt
DropPort	field offsets path=*	21	21	meta	opt
Foothold	fh/lr/vc slots path=*	20	20	meta	opt
Il2CppBind	unity managed upgrade OK	3	3		req
Il2CppContainer	field off path=*	0	22	fb-open-generic	opt
Il2CppMapData	field off path=*	7	7	meta	opt
Il2CppNetwork	field off path=*	9	9	meta	opt
InputPort	methods path=*	2	2	meta	opt
Invuln	fields path=*	12	12	meta	req
KickSniff	pkt/a480 fields path=*	5	5	meta	req
MobPool	di/vcAp path=*	9	9	meta	opt
MobPool	mob fields path=*	13	13	meta	opt
MobPool	uiHp/life fields path=*	9	9	meta	opt
PlayerCombat	combat slots path=*	10	10	meta	req
SecAttack	static fields path=*	3	3	meta	opt
SkillPort	field off	9	9		opt
Skill	methods path=*	9	9	meta	opt
Teleport	methods path=*	3	3	meta	req
Teleport	tp slots path=*	16	16	meta	req
Titlebar	price fields path=*	3	6	meta-partial	opt
UserPool	field off path=*	2	2	meta	opt
WorldMapTravel	offsets path=*	8	8	meta	opt
WorldMapTravel	wm-off path=*	7	7	meta	opt
WorldPort	wm/field slots path=*	5	5	meta	opt
